"हरियाणा का गठन कब हुआ था और कितने जिले थे", "1 नवंबर, 1966: 7 जिले", "22 दिसंबर, 1972: 9 जिले", "23 जनवरी, 1973: 8 जिले", "15 अगस्त, 1979: 10 जिले", "1 नवंबर, 1966: 7 जिले"
"1 नवंबर, 1966 को हरियाणा के कौन से 7 जिले बनाए गए थे", "हिसार, गुरुग्राम, अंबाला, करनाल, जींद, महेंद्रगढ़, रोहतक", "भिवानी, सोनीपत, कुरुक्षेत्र, सिरसा, फरीदाबाद, पानीपत, कैथल", "रेवाड़ी, यमुनानगर, पंचकुला, फतेहाबाद, झज्जर, मेवात, पलवल", "चरखी दादरी, हिसार, गुरुग्राम, अंबाला, करनाल, जींद, महेंद्रगढ़", "हिसार, गुरुग्राम, अंबाला, करनाल, जींद, महेंद्रगढ़, रोहतक"
"भिवानी और सोनीपत जिले का गठन कब हुआ था", "22 दिसंबर, 1972", "23 जनवरी, 1973", "26 अगस्त, 1975", "15 अगस्त, 1979", "22 दिसंबर, 1972"
"किस तारीख को हरियाणा में भिवानी और सोनीपत जिले जोड़े गए", "22 दिसंबर, 1972", "1 नवंबर, 1966", "15 अगस्त, 1979", "1 नवंबर, 1989", "22 दिसंबर, 1972"
"कुरुक्षेत्र जिले का गठन कब हुआ था", "23 जनवरी, 1973", "22 दिसंबर, 1972", "26 अगस्त, 1975", "15 अगस्त, 1979", "23 जनवरी, 1973"
"कुरुक्षेत्र हरियाणा का नया जिला कब बना", "23 जनवरी, 1973", "1 नवंबर, 1966", "15 अगस्त, 1995", "4 अप्रैल, 2005", "23 जनवरी, 1973"
"सिरसा जिले का गठन कब हुआ था", "26 अगस्त, 1975", "23 जनवरी, 1973", "15 अगस्त, 1979", "1 नवंबर, 1989", "26 अगस्त, 1975"
"सिरसा जिले को हरियाणा में किस तारीख को शामिल किया गया", "26 अगस्त, 1975", "22 दिसंबर, 1972", "15 जुलाई, 1997", "15 अगस्त, 2008", "26 अगस्त, 1975"
"फरीदाबाद जिले का गठन कब हुआ था", "15 अगस्त, 1979", "26 अगस्त, 1975", "1 नवंबर, 1989", "15 अगस्त, 1995", "15 अगस्त, 1979"
"फरीदाबाद हरियाणा का जिला किस तारीख को बना", "15 अगस्त, 1979", "23 जनवरी, 1973", "4 अप्रैल, 2005", "1 दिसंबर, 2016", "15 अगस्त, 1979"
"पानीपत, कैथल, रेवाड़ी, यमुनानगर जिले का गठन कब हुआ था", "1 नवंबर, 1989", "15 अगस्त, 1979", "15 अगस्त, 1995", "15 जुलाई, 1997", "1 नवंबर, 1989"
"किन जिलों का गठन 1 नवंबर, 1989 को हुआ था", "पानीपत, कैथल, रेवाड़ी, यमुनानगर", "भिवानी, सोनीपत, कुरुक्षेत्र, सिरसा", "फरीदाबाद, पंचकुला, फतेहाबाद, झज्जर", "मेवात, पलवल, चरखी दादरी, हिसार", "पानीपत, कैथल, रेवाड़ी, यमुनानगर"
"पंचकुला जिले का गठन कब हुआ था", "15 अगस्त, 1995", "1 नवंबर, 1989", "15 जुलाई, 1997", "4 अप्रैल, 2005", "15 अगस्त, 1995"
"पंचकुला हरियाणा का जिला किस तारीख को बना", "15 अगस्त, 1995", "26 अगस्त, 1975", "15 अगस्त, 2008", "1 दिसंबर, 2016", "15 अगस्त, 1995"
"फतेहाबाद और झज्जर जिले का गठन कब हुआ था", "15 जुलाई, 1997", "15 अगस्त, 1995", "4 अप्रैल, 2005", "15 अगस्त, 2008", "15 जुलाई, 1997"
"फतेहाबाद और झज्जर जिले हरियाणा में किस तारीख को जोड़े गए", "15 जुलाई, 1997", "1 नवंबर, 1989", "22 दिसंबर, 1972", "23 जनवरी, 1973", "15 जुलाई, 1997"
"मेवात जिले का गठन कब हुआ था", "4 अप्रैल, 2005", "15 जुलाई, 1997", "15 अगस्त, 2008", "1 दिसंबर, 2016", "4 अप्रैल, 2005"
"मेवात हरियाणा का जिला किस तारीख को बना", "4 अप्रैल, 2005", "15 अगस्त, 1979", "15 अगस्त, 1995", "15 अगस्त, 2008", "4 अप्रैल, 2005"
"पलवल जिले का गठन कब हुआ था", "15 अगस्त, 2008", "4 अप्रैल, 2005", "1 दिसंबर, 2016", "16 नवंबर, 2016", "15 अगस्त, 2008"
"पलवल हरियाणा का जिला किस तारीख को बना", "15 अगस्त, 2008", "15 जुलाई, 1997", "1 नवंबर, 1989", "22 दिसंबर, 1972", "15 अगस्त, 2008"
"चरखी दादरी को जिले का दर्जा कब मिला", "1 दिसंबर, 2016", "16 नवंबर, 2016", "15 अगस्त, 2008", "4 अप्रैल, 2005", "1 दिसंबर, 2016"
"चरखी दादरी को आधिकारिक तौर पर जिले का दर्जा किस तारीख को दिया गया", "1 दिसंबर, 2016", "16 नवंबर, 2016", "15 अगस्त, 2008", "4 अप्रैल, 2005", "1 दिसंबर, 2016"
"चरखी दादरी जिले की घोषणा कब हुई थी", "16 नवंबर, 2016", "1 दिसंबर, 2016", "15 अगस्त, 2008", "4 अप्रैल, 2005", "16 नवंबर, 2016"
"चरखी दादरी को एक जिले के रूप में घोषित कब किया गया था", "16 नवंबर, 2016", "1 दिसंबर, 2016", "15 अगस्त, 2008", "4 अप्रैल, 2005", "16 नवंबर, 2016"
