"फरीदाबाद का नाम किसके कारण पड़ा था", "संत फरीद", "फरीद शाह", "फकीर फरीद", "राजा फरीद", "संत फरीद"
"किस संत के नाम पर फरीदाबाद शहर का नामकरण किया गया है", "संत फरीद", "गुरु फरीद", "बाबा फरीद", "मुनि फरीद", "संत फरीद"
"महेन्द्रगढ़ का नाम किसके कारण पड़ा था", "पटियाला के राजा महेन्द्र", "महाराजा महेंद्र", "सम्राट महेंद्र", "राजा महेंद्र सिंह", "पटियाला के राजा महेन्द्र"
"पटियाला के किस राजा के नाम पर महेंद्रगढ़ का नाम रखा गया है", "राजा महेन्द्र", "महाराजा रणजीत सिंह", "राजा भूपिंदर सिंह", "राजा बलबीर सिंह", "राजा महेन्द्र"
"पलवल का नाम किसके कारण पड़ा था", "पुलक्बासुर की राजधानी के कारण", "पुलवल राजा", "पलवल ऋषि", "पुलक ऋषि", "पुलक्बासुर की राजधानी के कारण"
"किसकी राजधानी होने के कारण पलवल शहर का नाम पलवल पड़ा", "पुलक्बासुर", "पुलक ऋषि", "राजा पुलक", "पुलक वर्मा", "पुलक्बासुर"
"मेवात का नाम किसके कारण पड़ा था", "मेव जाति अधिक होने के कारण", "मेव राजा", "मेव ऋषि", "मेवार वंश", "मेव जाति अधिक होने के कारण"
"किस जाति की अधिकता के कारण मेवात क्षेत्र का नामकरण हुआ", "मेव जाति", "गुर्जर जाति", "जाट जाति", "राजपूत जाति", "मेव जाति"
"रेवाड़ी का नाम किसके कारण पड़ा था", "बलराम की पत्नी रेवती के कारण", "राजा रेवा", "रेवती देवी", "रानी रेवा", "बलराम की पत्नी रेवती के कारण"
"भगवान बलराम की किस पत्नी के नाम पर रेवाड़ी शहर का नाम रखा गया है", "रेवती", "राधा", "रुक्मिणी", "सत्यभामा", "रेवती"
"जींद का नाम किसके कारण पड़ा था", "जयंती देवी के कारण", "जयंत राजा", "जया देवी", "जयंती माता", "जयंती देवी के कारण"
