"अंबाला के उपनाम क्या हैं", "साइंस सिटी (वैज्ञानिक नगरी), मिक्सी सिटी", "औद्योगिक नगरी, गुलाबी शहर", "साइबर सिटी, मेडि सिटी", "स्टील नगरी, शहीदों का शहर", "साइंस सिटी (वैज्ञानिक नगरी), मिक्सी सिटी"
"किस शहर को साइंस सिटी और मिक्सी सिटी के नाम से जाना जाता है", "अंबाला", "भिवानी", "फरीदाबाद", "हिसार", "अंबाला"
"भिवानी के उपनाम क्या हैं", "हरियाणा की काशी, मिनी क्यूबा, धमार्थ न्याय का शहर", "दूध नगरी, हरियाणा का हृदय", "छोटी काशी, कपिल मुनि की नगरी", "कर्ण नगरी, धान का कटोरा", "हरियाणा की काशी, मिनी क्यूबा, धमार्थ न्याय का शहर"
"हरियाणा की काशी, मिनी क्यूबा और धमार्थ न्याय का शहर किस जिले को कहा जाता है", "भिवानी", "जींद", "कैथल", "करनाल", "भिवानी"
"चरखी दादरी का विशेष प्रसिद्ध उपनाम क्या है", "कोई विशेष प्रसिद्ध उपनाम नहीं", "साइबर सिटी", "गुलाबी शहर", "स्टील नगरी", "कोई विशेष प्रसिद्ध उपनाम नहीं"
"क्या चरखी दादरी का कोई विशेष प्रसिद्ध उपनाम है", "नहीं", "हाँ, साइबर सिटी", "हाँ, गुलाबी शहर", "हाँ, स्टील नगरी", "नहीं"
"फरीदाबाद का उपनाम क्या है", "औद्योगिक नगरी", "गुलाबी शहर", "साइबर सिटी", "स्टील नगरी", "औद्योगिक नगरी"
"किस शहर को औद्योगिक नगरी के नाम से जाना जाता है", "फरीदाबाद", "हिसार", "पानीपत", "यमुनानगर", "फरीदाबाद"
"फतेहाबाद का उपनाम क्या है", "गुलाबी शहर", "औद्योगिक नगरी", "साइबर सिटी", "स्टील नगरी", "गुलाबी शहर"
"गुलाबी शहर के नाम से हरियाणा का कौन सा जिला जाना जाता है", "फतेहाबाद", "हिसार", "करनाल", "रेवाड़ी", "फतेहाबाद"
"गुरुग्राम के उपनाम क्या हैं", "साइबर सिटी, मेडि सिटी", "औद्योगिक नगरी, गुलाबी शहर", "स्टील नगरी, शहीदों का शहर", "दूध नगरी, हरियाणा का हृदय", "साइबर सिटी, मेडि सिटी"
"किस शहर को साइबर सिटी और मेडि सिटी के नाम से जाना जाता है", "गुरुग्राम", "फरीदाबाद", "पानीपत", "रोहतक", "गुरुग्राम"
"हिसार का उपनाम क्या है", "स्टील नगरी", "साइबर सिटी", "मेडिसिटी", "औद्योगिक नगरी", "स्टील नगरी"
"हरियाणा के किस जिले को स्टील नगरी के नाम से जाना जाता है", "हिसार", "फरीदाबाद", "सोनीपत", "रेवाड़ी", "हिसार"
"झज्जर का उपनाम क्या है", "शहीदों का शहर", "दूध नगरी", "छोटी काशी", "कर्ण नगरी", "शहीदों का शहर"
"किस शहर को शहीदों का शहर कहा जाता है", "झज्जर", "पानीपत", "कुरुक्षेत्र", "अंबाला", "झज्जर"
"जींद के उपनाम क्या हैं", "दूध नगरी, हरियाणा का हृदय, जयंती देवी नगर", "छोटी काशी, कपिल मुनि की नगरी", "कर्ण नगरी, धान का कटोरा", "शहीदों का शहर, स्टील नगरी", "दूध नगरी, हरियाणा का हृदय, जयंती देवी नगर"
"दूध नगरी, हरियाणा का हृदय, और जयंती देवी नगर किस जिले के उपनाम हैं", "जींद", "भिवानी", "कैथल", "करनाल", "जींद"
"कैथल के उपनाम क्या हैं", "छोटी काशी, कपिल मुनि की नगरी, गुरुद्वारों का शहर", "दूध नगरी, हरियाणा का हृदय", "कर्ण नगरी, धान का कटोरा", "धर्म नगरी, गीता स्थली", "छोटी काशी, कपिल मुनि की नगरी, गुरुद्वारों का शहर"
"छोटी काशी, कपिल मुनि की नगरी, और गुरुद्वारों का शहर किस जिले को कहा जाता है", "कैथल", "भिवानी", "जींद", "कुरुक्षेत्र", " कैथल"
"करनाल के उपनाम क्या हैं", "कर्ण नगरी, धान का कटोरा, हरियाणा का पेरिस, शूज सिटी", "साइंस सिटी, मिक्सी सिटी", "औद्योगिक नगरी, गुलाबी शहर", "स्टील नगरी, शहीदों का शहर", "कर्ण नगरी, धान का कटोरा, हरियाणा का पेरिस, शूज सिटी"
"हरियाणा का पेरिस, धान का कटोरा, कर्ण नगरी, और शूज सिटी किस जिले के उपनाम हैं", "करनाल", "पानीपत", "कुरुक्षेत्र", "सोनीपत", "करनाल"
"कुरुक्षेत्र के उपनाम क्या हैं", "धर्म नगरी, गीता स्थली, वैदिक सभ्यता का पालना", "छोटी काशी, कपिल मुनि की नगरी", "दूध नगरी, हरियाणा का हृदय", "साइंस सिटी, मिक्सी सिटी", "धर्म नगरी, गीता स्थली, वैदिक सभ्यता का पालना"
"धर्म नगरी, गीता स्थली, और वैदिक सभ्यता का पालना किस जिले के उपनाम हैं", "कुरुक्षेत्र", "करनाल", "जींद", "कैथल", "कुरुक्षेत्र"
"महेंद्रगढ़ का विशेष प्रसिद्ध उपनाम क्या है", "कोई विशेष प्रसिद्ध उपनाम नहीं (नारनौल को बीरबल नगरी कहते हैं जो इसी जिले में है)", "बीरबल नगरी", "खनिजों का शहर", "शाही शहर", "कोई विशेष प्रसिद्ध उपनाम नहीं (नारनौल को बीरबल नगरी कहते हैं जो इसी जिले में है)"
"क्या महेंद्रगढ़ का कोई विशेष प्रसिद्ध उपनाम है, और नारनौल को क्या कहते हैं", "कोई विशेष प्रसिद्ध उपनाम नहीं, नारनौल को बीरबल नगरी कहते हैं", "हाँ, बीरबल नगरी", "हाँ, खनिजों का शहर", "नहीं, नारनौल को नहीं कहते", "कोई विशेष प्रसिद्ध उपनाम नहीं, नारनौल को बीरबल नगरी कहते हैं"
"नूंह का विशेष प्रसिद्ध उपनाम क्या है", "कोई विशेष प्रसिद्ध उपनाम नहीं", "कॉटन सिटी", "शुगर सिटी", "मेव नगरी", "कोई विशेष प्रसिद्ध उपनाम नहीं"
"क्या नूंह जिले का कोई विशेष प्रसिद्ध उपनाम है", "नहीं", "हाँ, मेव नगरी", "हाँ, जल नगरी", "हाँ, शिक्षा नगरी", "नहीं"
"पलवल के उपनाम क्या हैं", "कॉटन सिटी, शुगर सिटी", "औद्योगिक नगरी, गुलाबी शहर", "साइबर सिटी, मेडि सिटी", "शहीदों का शहर, स्टील नगरी", "कॉटन सिटी, शुगर सिटी"
"किस जिले को कॉटन सिटी और शुगर सिटी के नाम से जाना जाता है", "पलवल", "रोहतक", "हिसार", "पानीपत", "पलवल"
"पंचकूला का विशेष प्रसिद्ध उपनाम क्या है", "कोई विशेष प्रसिद्ध उपनाम नहीं (पंचकूला नाम पांच झरनों के कारण है)", "झरनों का शहर", "पहाड़ों की रानी", "शांत शहर", "कोई विशेष प्रसिद्ध उपनाम नहीं (पंचकूला नाम पांच झरनों के कारण है)"
"क्या पंचकूला का कोई विशेष प्रसिद्ध उपनाम है, और इसका नाम क्यों पड़ा", "कोई विशेष प्रसिद्ध उपनाम नहीं, नाम पांच झरनों के कारण है", "हाँ, झरनों का शहर", "नहीं, नाम पहाड़ों के कारण है", "हाँ, पहाड़ों की रानी", "कोई विशेष प्रसिद्ध उपनाम नहीं, नाम पांच झरनों के कारण है"
"पानीपत के उपनाम क्या हैं", "बुनकरों की नगरी, पेट्रोकेमिकल हब", "कॉटन सिटी, शुगर सिटी", "साइबर सिटी, मेडि सिटी", "स्टील नगरी, शहीदों का शहर", "बुनकरों की नगरी, पेट्रोकेमिकल हब"
"किस जिले को बुनकरों की नगरी और पेट्रोकेमिकल हब के नाम से जाना जाता है", "पानीपत", "करनाल", "रोहतक", "यमुनानगर", "पानीपत"
"रेवाड़ी का उपनाम क्या है", "पीतल नगरी", "कॉटन सिटी", "शुगर सिटी", "स्टील नगरी", "पीतल नगरी"
"पीतल नगरी के नाम से हरियाणा का कौन सा जिला प्रसिद्ध है", "रेवाड़ी", "महेंद्रगढ़", "पलवल", "हिसार", "रेवाड़ी"
"रोहतक का उपनाम क्या है", "शुगर सिटी", "कॉटन सिटी", "स्टील नगरी", "दूध नगरी", "शुगर सिटी"
"हरियाणा के किस जिले को शुगर सिटी कहा जाता है", "रोहतक", "पलवल", "करनाल", "पानीपत", "रोहतक"
"सिरसा के उपनाम क्या हैं", "संतों की नगरी, वन नगरी, सरस्वती नगर", "छोटी काशी, कपिल मुनि की नगरी", "धर्म नगरी, गीता स्थली", "बुनकरों की नगरी, पेट्रोकेमिकल हब", "संतों की नगरी, वन नगरी, सरस्वती नगर"
"किस जिले को संतों की नगरी, वन नगरी, और सरस्वती नगर के नाम से जाना जाता है", "सिरसा", "हिसार", "फतेहाबाद", "जींद", "सिरसा"
"सोनीपत के उपनाम क्या हैं", "महाभारत कालीन स्वर्ण प्रस्थ नगरी, साइकिल सिटी, शिक्षा नगरी", "कर्ण नगरी, धान का कटोरा", "दूध नगरी, हरियाणा का हृदय", "साइबर सिटी, मेडि सिटी", "महाभारत कालीन स्वर्ण प्रस्थ नगरी, साइकिल सिटी, शिक्षा नगरी"
"महाभारत कालीन स्वर्ण प्रस्थ नगरी, साइकिल सिटी, और शिक्षा नगरी किस जिले के उपनाम हैं", "सोनीपत", "पानीपत", "रोहतक", "गुरुग्राम", "सोनीपत"
"यमुनानगर के उपनाम क्या हैं", "पेपर सिटी, मछियारों का स्वर्ग", "बुनकरों की नगरी, पेट्रोकेमिकल हब", "कॉटन सिटी, शुगर City", "स्टील नगरी, शहीदों का शहर", "पेपर सिटी, मछियारों का स्वर्ग"
"किस जिले को पेपर सिटी और मछियारों का स्वर्ग कहा जाता है", "यमुनानगर", "अंबाला", "करनाल", "पानीपत", "यमुनानगर"
