कैथल जिले में कौन से कस्बे शामिल हैं?,कलायत सीवन चौशाला मुंदड़ी,पटियाला चंडीगढ़ शिमला मनाली,करनाल पानीपत सोनीपत रोहतक,दिल्ली मुंबई कोलकाता चेन्नई,कलायत सीवन चौशाला मुंदड़ी
कैथल जिले का मंडल कौन सा है?,करनाल,अंबाला,हिसार,गुरुग्राम,करनाल
कैथल जिले का क्षेत्रफल कितना है?,2317 वर्ग कि०मी०,3000 वर्ग कि०मी०,1500 वर्ग कि०मी०,4000 वर्ग कि०मी०,2317 वर्ग कि०मी०
कैथल जिले की जनसंख्या कितनी है?,1074304,500000,1500000,2000000,1074304
कैथल जिले का जनसंख्या घनत्व कितना है?,464 वर्ग कि०मी०,300 वर्ग कि०मी०,500 वर्ग कि०मी०,600 वर्ग कि०मी०,464 वर्ग कि०मी०
कैथल जिले का लिंगानुपात कितना है?,881,900,850,920,881
कैथल जिले की साक्षरता दर कितनी है?,69.15%,75%,60%,80%,69.15%
कैथल जिले के उपमंडल कौन से हैं?,कैथल गुहला कलायत,करनाल पानीपत सोनीपत,अंबाला हिसार गुरुग्राम,दिल्ली मुंबई कोलकाता,कैथल गुहला कलायत
कैथल जिले की तहसीलें कौन सी हैं?,कैथल गुहला कलायत फतेहपुर पुण्डरी,करनाल पानीपत सोनीपत रोहतक,अंबाला हिसार गुरुग्राम फरीदाबाद,दिल्ली मुंबई कोलकाता चेन्नई,कैथल गुहला कलायत फतेहपुर पुण्डरी
कैथल जिले की उपतहसीलें कौन सी हैं?,राजौन्द ढाण्ड सीवन,करनाल पानीपत सोनीपत,अंबाला हिसार गुरुग्राम,दिल्ली मुंबई कोलकाता,राजौन्द ढाण्ड सीवन
कैथल जिले के खंड कौन से हैं?,गुहलाचीका कैथल पुण्डरी कलायत राजौन्द सीवन,करनाल पानीपत सोनीपत रोहतक,अंबाला हिसार गुरुग्राम फरीदाबाद,दिल्ली मुंबई कोलकाता चेन्नई,गुहलाचीका कैथल पुण्डरी कलायत राजौन्द सीवन
कैथल शहर को किस उपनाम से जाना जाता है?,सात तालाबों व 8 गेटों से घिरा शहर,पांच नदियों का शहर,झीलों का शहर,पहाड़ों का शहर,सात तालाबों व 8 गेटों से घिरा शहर
कैथल में स्थित नौ ग्रह कुंड का निर्माता कौन है?,युधिष्ठिर,भगवान राम,भगवान कृष्ण,भगवान शिव,युधिष्ठिर
नौ ग्रह कुंड जनता को कब समर्पित किए गए?,28 मई 1987,15 अगस्त 1947,26 जनवरी 1950,2 अक्टूबर 1869,28 मई 1987
सांख्य दर्शन के प्रणेता कपिल मुनि का आश्रम कहाँ स्थित है?,कलायत (कैथल),कुरुक्षेत्र,पानीपत,रेवाड़ी,कलायत (कैथल)
विदक्यार झील कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
अंजनी का टीला कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
भगवान विष्णु द्वारा स्थापित तीर्थ स्थल कौल कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
प्राचीन शिव वन कहाँ स्थित था?,सीवन (कैथल),कुरुक्षेत्र,पानीपत,रेवाड़ी,सीवन (कैथल)
त्रिविक्रम विष्णु की मूर्ति कहाँ स्थित है?,सीवन (कैथल),कुरुक्षेत्र,पानीपत,रेवाड़ी,सीवन (कैथल)
प्रमुख पर्यटक स्थल कोयल कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
कैथल के उपनाम क्या हैं?,कपिल मुनि नगर गुरुद्वारों का शहर,पहाड़ों का शहर झीलों का शहर,मंदिरों का शहर बागीचों का शहर,किलाओं का शहर नदियों का शहर,कपिल मुनि नगर गुरुद्वारों का शहर
पुराणों के अनुसार कैथल की स्थापना किसने की थी?,युधिष्ठिर,भगवान राम,भगवान कृष्ण,भगवान शिव,युधिष्ठिर
भगवान हनुमान का जन्म स्थल कहाँ है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
कैथल का प्राचीन नाम क्या था?,कपिलस्थल,हस्तिनापुर,इंद्रप्रस्थ,पानीपत,कपिलस्थल
हरियाणा गठन के समय कैथल किस जिले की एक तहसील थी?,करनाल,पानीपत,सोनीपत,रोहतक,करनाल
लवकुश की नगरी किसे कहते हैं?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
नागरिक सुविधाएँ ऑनलाइन करने वाली प्रथम नगर परिषद् कौन सी है?,कैथल,करनाल,पानीपत,सोनीपत,कैथल
सिर्फ ईंटों का बना अनूठा प्राचीन शिव मंदिर कहाँ स्थित है?,कलायत (कैथल),कुरुक्षेत्र,पानीपत,रेवाड़ी,कलायत (कैथल)
घूँघट के विरुद्ध अभियान चलाने वाली हरियाणा की प्रथम पंचायत कौन सी है?,चौशाला (कैथल),करनाल,पानीपत,सोनीपत,चौशाला (कैथल)
राज्य का प्रथम संस्कृत विश्वविद्यालय महर्षि वाल्मीकि संस्कृत विश्वविद्यालय कहाँ खोला जाएगा?,मुंदड़ी (कैथल),कुरुक्षेत्र,पानीपत,रेवाड़ी,मुंदड़ी (कैथल)
राधाकृष्ण सनातन धर्म कॉलेज की स्थापना कब हुई थी?,1954,1947,1960,1970,1954
दिल्ली की प्रथम महिला शासक रजिया सुल्तान कहाँ की थी?,कैथल,दिल्ली,लाहौर,मुल्तान,कैथल
रजिया सुल्तान की हत्या कैथल में कब हुई थी?,1240 ई०,1236 ई०,1242 ई०,1244 ई०,1240 ई०
रजिया सुल्तान का मकबरा कहाँ स्थित है?,कैथल,दिल्ली,लाहौर,मुल्तान,कैथल
दक्षिणी एशिया का प्रथम महिला मकबरा कौन सा है?,रजिया सुल्तान का मकबरा,हुमायूँ का मकबरा,अकबर का मकबरा,जहाँगीर का मकबरा,रजिया सुल्तान का मकबरा
यक्ष उरंतुक दर्शनीय स्थल कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
फाउंडी मशीन में लगने वाले यंत्रों का निर्माण कहाँ किया जाता है?,कैथल,फरीदाबाद,गुरुग्राम,सोनीपत,कैथल
हरियाणा का पहला पशु विज्ञान केंद्र कहाँ खोला गया था?,कैथल,करनाल,हिसार,रोहतक,कैथल
श्री ग्यारह रुद्री मंदिर कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
छोटी काशी के नाम से प्रसिद्ध शहर भिवानी के बाद कौन सा है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
बड़ी देवी मंदिर कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
सनातन धर्म मंदिर कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
गीता भवन मंदिर कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
कुट्टी शिव मंदिर कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
देव का मंदिर कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
हरियाणा की छोटी इटली के नाम से प्रसिद्ध गाँव कौन सा है?,धरेडू कैथल,करनाल,पानीपत,सोनीपत,धरेडू कैथल
किस मुगल शासक के दौरान कैथल में सर्वाधिक विरोध हुआ था?,बाबर,अकबर,हुमायूँ,शाहजहाँ,बाबर
मोहन सिंह मंडार (कैथल) रियासत ने किस मुगल शासक के खिलाफ सर्वाधिक विरोध किया?,बाबर,अकबर,हुमायूँ,शाहजहाँ,बाबर
तैमूर सेना ने घग्घर नदी पर किस स्थान पर पुल का निर्माण करवाया था?,गुहला (कैथल),करनाल,पानीपत,सोनीपत,गुहला (कैथल)
बाबा लुदाना नामक तीर्थ स्थल कहाँ है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
टोपियों वाला गुरुद्वारा कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
गुरुद्वारा नीम साहिब कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
गुरुद्वारा नीम साहिब किससे संबंधित है?,गुरु तेग बहादुर,गुरु नानक देव,गुरु गोविंद सिंह,गुरु अर्जुन देव,गुरु तेग बहादुर
गुरुद्वारा मंजी साहिब कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
भाई उद्य सिंह का किला कहाँ स्थित है?,कैथल,कुरुक्षेत्र,पानीपत,रेवाड़ी,कैथल
नलकूपों से सिंचाई में प्रथम जिला कौन सा है?,कैथल,करनाल,हिसार,रोहतक,कैथल
फल्गु तीर्थ स्थल कहाँ है?,फरल गाँव (कैथल),कुरुक्षेत्र,पानीपत,रेवाड़ी,फरल गाँव (कैथल)
फरल गाँव में किस अमावस्या को प्रसिद्ध मेला भरता है?,सोमवती अमावस्या,दीपावली अमावस्या,होली अमावस्या,शिवरात्रि अमावस्या,सोमवती अमावस्या
पिंड दान के लिए प्रसिद्ध तीर्थ स्थल कौन सा है?,फल्गु तीर्थ स्थल,कुरुक्षेत्र,पानीपत,रेवाड़ी,फल्गु तीर्थ स्थल
सरस्वती वन्य जीव अभ्यारण्य की स्थापना कब हुई थी?,1988,1947,1960,1970,1988
